Type d'acte;Année;Arrondissement;Nombres
Décès;2005;4ème arrdt;374
Décès;2005;12ème arrdt;1549
Naissances;2012;18ème arrdt;2160
Naissances;2004;20ème arrdt;2159
Reconnaissances;2008;8ème arrdt;108
Naissances;2005;18ème arrdt;2370
Reconnaissances;2006;7ème arrdt;119
Reconnaissances;2006;5ème arrdt;158
Mariage;2014;15ème arrdt;1029
Décès;2012;7ème arrdt;186
Décès;2008;1er arrdt;39
Mariages;2009;15ème arrdt;947
Mariages;2007;7ème arrdt;299
Mariages;2004;16ème arrdt;888
Naissances;2012;3ème arrdt;2
Décès;2012;17ème arrdt;358
Décès;2011;9ème arrdt;95
Décès;2005;7ème arrdt;211
Décès;2004;18ème arrdt;1497
Mariages;2012;11ème arrdt;661
Mariages;2011;18ème arrdt;730
Mariages;2004;4ème arrdt;152
Naissances;2012;11ème arrdt;705
Naissances;2009;13ème arrdt;3388
Naissances;2006;2ème arrdt;0
Naissances;2004;13ème arrdt;3447
Reconnaissances;2006;11ème arrdt;1207
Décès;2013;11ème arrdt;233
Mariages;2012;3ème arrdt;201
Mariages;2007;8ème arrdt;192
Mariages;2006;6ème arrdt;202
Naissances;2009;4ème arrdt;2
Naissances;2006;12ème arrdt;8350
Naissances;2005;3ème arrdt;3
Reconnaissances;2011;10ème arrdt;549
Mariages;2006;15ème arrdt;991
Mariages;2005;18ème arrdt;1095
Décès;2012;14ème arrdt;2015
Décès;2012;12ème arrdt;1583
Décès;2006;11ème arrdt;293
Mariages;2013;1er arrdt;102
Décès;2014;11ème arrdt;223
Décès;2014;20ème arrdt;1114
Décès;2011;5ème arrdt;641
Décès;2010;12ème arrdt;1639
Décès;2008;20ème arrdt;1249
Décès;2008;18ème arrdt;1449
Décès;2008;17ème arrdt;344
Décès;2004;3ème arrdt;56
Mariages;2012;5ème arrdt;280
Naissances;2010;3ème arrdt;4
Naissances;2008;15ème arrdt;5125
Naissances;2008;2ème arrdt;1
Reconnaissances;2007;17ème arrdt;659
Reconnaissances;2006;3ème arrdt;183
Naissances;2007;18ème arrdt;2176
Naissances;2004;10ème arrdt;1759
Reconnaissances;2013;8ème arrdt;115
Reconnaissances;2013;12ème arrdt;844
Mariages;2013;18ème arrdt;746
Mariages;2010;18ème arrdt;744
Mariages;2010;8ème arrdt;231
Mariages;2008;8ème arrdt;214
Naissances;2012;14ème arrdt;10380
Naissances;2009;1er arrdt;2
Décès;2012;5ème arrdt;678
Naissances;2013;15ème arrdt;6111
Naissances;2012;4ème arrdt;1
Naissances;2007;3ème arrdt;1
Naissances;2007;9ème arrdt;0
Naissances;2007;20ème arrdt;2237
Naissances;2006;13ème arrdt;3541
Reconnaissances;2009;11ème arrdt;792
Naissance;2014;9ème arrdt;4
Décès;2014;4ème arrdt;55
Décès;2010;19ème arrdt;858
Décès;2009;16ème arrdt;936
Mariages;2012;2ème arrdt;111
Mariages;2009;16ème arrdt;750
Mariages;2007;20ème arrdt;797
Mariages;2006;8ème arrdt;237
Mariages;2004;15ème arrdt;1057
Reconnaissances;2008;1er arrdt;54
Reconnaissances;2007;12ème arrdt;885
Reconnaissances;2006;1er arrdt;74
Reconnaissances;2014;8ème arrdt;106
Décès;2014;17ème arrdt;346
Mariages;2004;13ème arrdt;806
Naissances;2005;14ème arrdt;10503
Reconnaissances;2014;18ème arrdt;1332
Décès;2013;14ème arrdt;2023
Décès;2009;20ème arrdt;1230
Décès;2005;14ème arrdt;2061
Mariages;2009;20ème arrdt;762
Mariages;2008;19ème arrdt;882
Mariages;2004;12ème arrdt;626
Naissances;2011;20ème arrdt;2205
Naissances;2009;18ème arrdt;2049
Reconnaissances;2012;9ème arrdt;215
Reconnaissances;2011;11ème arrdt;735
Reconnaissances;2010;7ème arrdt;92
Reconnaissances;2008;7ème arrdt;121
Naissances;2005;9ème arrdt;1
Reconnaissances;2010;14ème arrdt;745
Reconnaissances;2009;20ème arrdt;1033
Décès;2011;12ème arrdt;1590
Décès;2007;12ème arrdt;1528
Mariages;2008;4ème arrdt;127
Naissances;2010;15ème arrdt;5471
Naissances;2009;6ème arrdt;2
Décès;2010;14ème arrdt;1951
Décès;2006;17ème arrdt;382
Mariages;2012;18ème arrdt;669
Mariages;2012;13ème arrdt;665
Naissances;2012;12ème arrdt;8859
Naissances;2009;12ème arrdt;10904
Naissances;2008;4ème arrdt;2
Reconnaissances;2012;8ème arrdt;106
Reconnaissances;2011;5ème arrdt;154
Reconnaissances;2011;16ème arrdt;293
Décès;2012;13ème arrdt;2054
Décès;2009;19ème arrdt;648
Décès;2004;6ème arrdt;91
Mariages;2011;10ème arrdt;389
Mariages;2011;16ème arrdt;664
Mariages;2008;17ème arrdt;551
Naissances;2013;19ème arrdt;3026
Naissances;2012;9ème arrdt;5
Reconnaissances;2008;18ème arrdt;1317
Reconnaissances;2007;13ème arrdt;967
Reconnaissances;2005;12ème arrdt;1957
Décès;2013;18ème arrdt;1399
Décès;2012;8ème arrdt;112
Décès;2012;15ème arrdt;3306
Reconnaissances;2010;11ème arrdt;781
Reconnaissances;2006;16ème arrdt;449
